name,category,kcal_per_100g,carb_g,protein_g,fat_g,serving_desc
현미밥,곡류,149,32.1,2.9,0.9,1공기(210g)
백미밥,곡류,157,35.1,2.7,0.3,1공기(210g)
잡곡밥,곡류,150,32.5,3.1,0.8,1공기(210g)
오트밀(건조),곡류,380,66.3,13.2,6.9,1/2컵(40g)
식빵(일반),빵/면,265,49.5,9.0,3.2,1장(30g)
통밀빵,빵/면,247,46.0,9.5,3.0,1장(30g)
삶은 달걀,달걀/유제품,155,1.1,12.6,11.5,1개(50g)
달걀프라이,달걀/유제품,196,1.1,13.7,15.5,1개(50g)
스크램블에그,달걀/유제품,182,1.6,12.1,14.3,1인분(100g)
무지방 우유,달걀/유제품,36,4.9,3.5,0.2,1컵(200ml)
저지방 우유,달걀/유제품,49,5.0,3.4,1.7,1컵(200ml)
일반 우유,달걀/유제품,62,4.6,3.0,3.5,1컵(200ml)
플레인 요거트(무지방),달걀/유제품,61,8.5,5.7,0.2,1개(100g)
두부(연두부),콩류,47,2.1,4.9,2.7,1/4모(100g)
두부(단단한),콩류,84,2.0,9.0,5.0,1/4모(100g)
삶은 콩(검정콩),콩류,132,22.8,8.9,0.5,1/2컵(80g)
닭가슴살(삶은),육류,165,0,31.0,3.6,100g
닭다리살(껍질 제거),육류,185,0,27.5,8.0,100g
소고기 등심(살코기),육류,220,0,21.5,14.5,100g
소고기 불고기용,육류,210,0,18.5,14.8,100g
돼지고기 안심,육류,143,0,21.5,5.8,100g
돼지고기 삼겹살,육류,395,0,14.0,37.0,100g
연어(생),어패류,182,0,19.9,11.5,100g
고등어(생),어패류,183,0,20.2,11.5,100g
"참치(통조림 물)",어패류,116,0,25.5,1.0,1캔(100g)
새우(삶은),어패류,99,0.9,20.9,1.1,100g
오징어(생),어패류,80,1.4,16.4,1.2,100g
김치(배추),채소/김치,18,3.8,0.9,0.4,100g
깍두기,채소/김치,22,4.7,1.0,0.3,100g
된장찌개,국/찌개,47,3.8,3.2,1.9,1인분(200g)
김치찌개,국/찌개,62,5.1,3.5,2.8,1인분(200g)
미역국,국/찌개,22,1.2,2.5,0.6,1인분(200g)
부대찌개,국/찌개,98,7.2,6.8,4.8,1인분(250g)
시금치(생),채소,25,3.6,2.9,0.3,100g
브로콜리(생),채소,34,6.6,2.8,0.4,100g
양배추(생),채소,25,5.8,1.3,0.1,100g
오이(생),채소,16,3.6,0.8,0.1,100g
당근(생),채소,41,9.6,0.9,0.2,100g
토마토(생),채소,20,4.2,1.0,0.2,100g
상추(생),채소,15,2.3,1.4,0.3,100g
양파(생),채소,40,9.3,1.1,0.1,100g
파프리카(빨강),채소,31,6.0,1.0,0.3,100g
고구마(삶은),채소/뿌리,114,27.0,1.6,0.1,1개 작은것(100g)
감자(삶은),채소/뿌리,86,20.1,1.9,0.1,1개 중간(150g)
바나나,과일,89,22.8,1.1,0.3,1개 중간(120g)
사과,과일,57,14.5,0.3,0.2,1개 중간(200g)
배,과일,51,13.0,0.3,0.2,1개 중간(250g)
오렌지,과일,47,11.7,0.9,0.1,1개 중간(150g)
딸기,과일,33,7.7,0.7,0.3,10개(150g)
포도,과일,69,17.2,0.7,0.2,한 송이(150g)
아몬드,견과류,579,21.6,21.2,49.9,1줌(30g)
호두,견과류,654,13.7,15.2,65.2,5알(30g)
땅콩,견과류,567,16.1,25.8,49.2,1줌(30g)
비빔밥,한식 메뉴,200,35.6,7.5,4.2,1인분(350g)
볶음밥(달걀),한식 메뉴,215,34.8,7.2,6.3,1인분(300g)
김밥(한줄),한식 메뉴,320,55.2,10.8,7.0,1줄(200g)
떡볶이,한식 메뉴,150,32.4,2.8,1.2,1인분(150g)
라면(봉지),면류,485,69.5,10.9,17.6,1봉지(120g)
칼국수,면류,140,28.0,5.0,1.0,1인분(250g)
비빔국수,면류,160,32.5,5.6,2.0,1인분(250g)
삼각김밥(참치마요),편의식,185,28.5,5.0,6.2,1개(110g)
샌드위치(햄),편의식,250,30.2,12.0,9.0,1개(150g)
샐러드(기본 채소),샐러드,20,3.5,1.2,0.3,1인분(150g)
닭가슴살 샐러드,샐러드,120,5.8,20.5,2.5,1인분(250g)
참기름,오일/소스,884,0,0,100.0,1큰술(13g)
올리브오일,오일/소스,884,0,0,100.0,1큰술(13g)
된장,소스/양념,190,20.0,11.0,7.0,1큰술(18g)
간장,소스/양념,60,8.0,5.0,0.1,1큰술(18g)
고추장,소스/양념,220,43.5,5.8,2.3,1큰술(18g)
마요네즈,소스/양념,680,1.8,1.0,75.0,1큰술(14g)
아메리카노,음료,5,0.8,0.2,0.1,1잔(355ml)
카페라떼(일반),음료,120,9.8,7.0,5.2,1잔(355ml)
오렌지주스(시판),음료,45,10.5,0.7,0.2,1컵(200ml)
